,number,value,datetime_start,datetime_complete,duration,params_Bayes_prior_positive,params_Bayes_var_smoothing,params_GB_ccp_alpha,params_GB_criterion,params_GB_learning_rate,params_GB_loss,params_GB_max_depth,params_GB_max_features,params_GB_min_impurity_decrease,params_GB_min_samples_leaf,params_GB_min_samples_split,params_GB_n_estimators,params_GB_subsample,params_GB_tol,params_GB_validation_fraction,params_Method,params_SVM_C,params_SVM_coef0,params_SVM_decision_function_shape,params_SVM_degree,params_SVM_gamma,params_SVM_kernel,params_SVM_shrinking,params_SVM_tol,params_Tree_ccp_alpha,params_Tree_criterion,params_Tree_max_features,params_Tree_min_impurity_decrease,params_Tree_min_samples_leaf,params_Tree_min_samples_split,params_Tree_min_weight_fraction_leaf,params_Tree_splitter,params_kNN_algorithm,params_kNN_leaf_size,params_kNN_n_neighbors,params_kNN_p,params_kNN_weights,state
0,0,0.8627777777777779,2023-03-02 00:30:15.980047,2023-03-02 00:30:15.995047,0 days 00:00:00.015000,0.5762609498174669,0.6579150783281474,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.5,2023-03-02 00:30:15.981048,2023-03-02 00:30:16.010049,0 days 00:00:00.029001,,,,,,,,,,,,,,,,Tree,,,,,,,,,746.0164102661874,gini,0.08410505233689747,539.1774706542801,0.35406413151526545,0.6797360900886599,0.46304243547634283,best,,,,,,COMPLETE
2,2,0.8096296296296297,2023-03-02 00:30:15.982047,2023-03-02 00:30:16.530025,0 days 00:00:00.547978,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,kd_tree,351.0,452.0,598.0,distance,COMPLETE
3,3,0.5,2023-03-02 00:30:15.984050,2023-03-02 00:30:16.035052,0 days 00:00:00.051002,,,,,,,,,,,,,,,,Tree,,,,,,,,,7.762604104269558,entropy,0.25157225786656423,629.7833830756881,0.37846424365117404,0.1398642189027932,0.2932555544432473,random,,,,,,COMPLETE
4,4,0.5,2023-03-02 00:30:15.985047,2023-03-02 00:30:17.828890,0 days 00:00:01.843843,,,696.7942401167278,friedman_mse,7.761560446125403,deviance,14.0,0.8717762994653797,382.8561235311545,0.43134566499968413,0.29776689256097255,498.0,0.6564999565120856,0.1273700159176037,0.7163132177078263,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.6667592592592593,2023-03-02 00:30:15.987047,2023-03-02 00:30:16.605027,0 days 00:00:00.617980,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,ball_tree,114.0,391.0,552.0,uniform,COMPLETE
6,6,0.8618518518518519,2023-03-02 00:30:15.990047,2023-03-02 00:30:16.022049,0 days 00:00:00.032002,0.3942523728271907,0.8660998068149135,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
7,7,0.8220370370370371,2023-03-02 00:30:15.991047,2023-03-02 00:30:16.132048,0 days 00:00:00.141001,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,kd_tree,394.0,19.0,947.0,uniform,COMPLETE
8,8,0.8466666666666667,2023-03-02 00:30:16.004047,2023-03-02 00:30:16.164047,0 days 00:00:00.160000,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,ball_tree,120.0,50.0,267.0,distance,COMPLETE
9,9,0.8633333333333333,2023-03-02 00:30:16.027050,2023-03-02 00:30:16.060049,0 days 00:00:00.032999,0.7238906548513668,0.505173251349263,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
10,10,0.5,2023-03-02 00:30:16.032051,2023-03-02 00:30:16.475024,0 days 00:00:00.442973,,,595.9720569724186,friedman_mse,9.435648009464996,deviance,11.0,0.9926385875929827,855.1483551749399,0.3943688873958919,0.8833948496885752,198.0,0.6128009599248335,0.3139510354928434,0.7988737283276852,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.8433333333333334,2023-03-02 00:30:16.054047,2023-03-02 00:30:16.315871,0 days 00:00:00.261824,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,ball_tree,37.0,165.0,416.0,uniform,COMPLETE
12,12,0.7240740740740741,2023-03-02 00:30:16.066049,2023-03-02 00:30:16.155048,0 days 00:00:00.088999,,,,,,,,,,,,,,,,SVM,71.59216073952429,,ovr,,scale,rbf,False,0.016726142055648267,,,,,,,,,,,,,,COMPLETE
13,13,0.5,2023-03-02 00:30:16.139048,2023-03-02 00:30:17.287306,0 days 00:00:01.148258,,,121.04027132135299,friedman_mse,4.556274790500905,deviance,12.0,0.15732555157831485,878.0473586110735,0.34660691569578145,0.5489002296535183,355.0,0.4468293412570934,0.3255354005162017,0.3815104323458881,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
14,14,0.8648148148148148,2023-03-02 00:30:16.160048,2023-03-02 00:30:16.183050,0 days 00:00:00.023002,0.020940120975716958,0.349781119968949,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
15,15,0.8564814814814814,2023-03-02 00:30:16.168047,2023-03-02 00:30:16.835880,0 days 00:00:00.667833,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,ball_tree,421.0,424.0,212.0,distance,COMPLETE
16,16,0.8012037037037036,2023-03-02 00:30:16.188048,2023-03-02 00:30:16.505027,0 days 00:00:00.316979,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,kd_tree,70.0,349.0,73.0,uniform,COMPLETE
17,17,0.5,2023-03-02 00:30:16.325874,2023-03-02 00:30:17.260306,0 days 00:00:00.934432,,,216.85944949889478,friedman_mse,6.100315954092644,exponential,24.0,0.9551213098977273,773.0887863386092,0.32572857781878267,0.09731182316204035,248.0,0.160101321427715,0.6466082484299278,0.967546553506486,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
18,18,0.8664814814814815,2023-03-02 00:30:16.480027,2023-03-02 00:30:16.508026,0 days 00:00:00.027999,0.06931724077476098,0.24362915058301848,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
19,19,0.8690740740740741,2023-03-02 00:30:16.515025,2023-03-02 00:30:16.566026,0 days 00:00:00.051001,0.0026749230739669116,0.14599565218914085,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
20,20,0.8688888888888889,2023-03-02 00:30:16.517026,2023-03-02 00:30:16.573032,0 days 00:00:00.056006,0.028506488286018067,0.13989239206479748,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
21,21,0.8688888888888889,2023-03-02 00:30:16.546025,2023-03-02 00:30:16.584024,0 days 00:00:00.037999,0.0013563332894873659,0.13714064439704982,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.8687037037037038,2023-03-02 00:30:16.570025,2023-03-02 00:30:16.630025,0 days 00:00:00.060000,0.0066639748757134284,0.03559070658456337,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.5,2023-03-02 00:30:16.586024,2023-03-02 00:30:19.579969,0 days 00:00:02.993945,,,15.325635464191919,squared_error,0.6454934491032756,exponential,37.0,0.031596386260996145,8.340011759881179,0.001745961612425434,0.024249665958939737,991.0,0.012965946384518923,0.9652563666203622,0.06320866112833434,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.5,2023-03-02 00:30:16.590024,2023-03-02 00:30:16.672027,0 days 00:00:00.082003,,,,,,,,,,,,,,,,SVM,4.280402998043421,-60.64987509486315,ovo,,auto,sigmoid,True,0.9778288133485354,,,,,,,,,,,,,,COMPLETE
25,25,0.5,2023-03-02 00:30:16.616025,2023-03-02 00:30:19.630968,0 days 00:00:03.014943,,,28.24358958784427,squared_error,0.7152610153142573,exponential,40.0,0.01679703944359301,40.48326715972985,0.06209101781746948,0.005796030233915728,993.0,0.0372198947091123,0.9631425510651136,0.0015683983847257776,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.5,2023-03-02 00:30:16.660025,2023-03-02 00:30:20.360553,0 days 00:00:03.700528,,,14.44015838670208,squared_error,0.8951351110194592,exponential,39.0,0.0021933085069082425,34.16413201168683,0.005375067051641452,0.01803442125330601,925.0,0.09833602584866363,0.994686312091821,0.01800068897347573,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
27,27,0.5,2023-03-02 00:30:16.691025,2023-03-02 00:30:19.491971,0 days 00:00:02.800946,,,3.1930739878265513,squared_error,0.04956065743348059,exponential,39.0,0.07549013554143869,1.1058722989374132,0.06879211714512093,0.20776450119632406,991.0,0.008449890052580233,0.9161847847662872,0.011506961506085434,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
28,28,0.8685185185185185,2023-03-02 00:30:16.846881,2023-03-02 00:30:16.889880,0 days 00:00:00.042999,0.19755296648400855,0.04460017072125454,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,0.5,2023-03-02 00:30:16.896878,2023-03-02 00:30:19.728968,0 days 00:00:02.832090,,,21.992074631088258,squared_error,0.01725109945049219,exponential,40.0,0.06586865747191728,10.631885382189068,0.008256391520528539,0.03483449245925474,951.0,0.02648405411436211,0.9502700953043173,0.008473932826667863,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
30,30,0.867962962962963,2023-03-02 00:30:17.276308,2023-03-02 00:30:17.322450,0 days 00:00:00.046142,0.23691744172283885,0.19313580080504925,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8681481481481481,2023-03-02 00:30:17.299186,2023-03-02 00:30:17.344305,0 days 00:00:00.045119,0.2502998043542649,0.19848755310498556,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.8677777777777778,2023-03-02 00:30:17.333450,2023-03-02 00:30:17.378305,0 days 00:00:00.044855,0.01284848463946981,0.17394904844218886,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8688888888888889,2023-03-02 00:30:17.356304,2023-03-02 00:30:17.399698,0 days 00:00:00.043394,0.013430360119601976,0.005894987298762977,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.5,2023-03-02 00:30:17.390003,2023-03-02 00:30:17.460698,0 days 00:00:00.070695,,,,,,,,,,,,,,,,Tree,,,,,,,,,948.6703559392449,entropy,0.9107009632837463,38.163358758284176,0.0006781698577661699,0.9682164264642794,0.015422646492196601,random,,,,,,COMPLETE
35,35,0.6844444444444445,2023-03-02 00:30:17.405699,2023-03-02 00:30:23.790635,0 days 00:00:06.384936,,,,,,,,,,,,,,,,SVM,98.71198669109874,91.80944704602909,ovo,15.0,scale,poly,True,0.5104952898580251,,,,,,,,,,,,,,COMPLETE
36,36,0.5,2023-03-02 00:30:17.466697,2023-03-02 00:30:17.520214,0 days 00:00:00.053517,,,,,,,,,,,,,,,,SVM,94.8964367362727,84.27360905991401,ovr,27.0,scale,poly,False,0.5123900255123627,,,,,,,,,,,,,,COMPLETE
37,37,0.8648148148148148,2023-03-02 00:30:17.524215,2023-03-02 00:30:17.560217,0 days 00:00:00.036002,0.17947866666511916,0.3504032921096778,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.8690740740740741,2023-03-02 00:30:17.568215,2023-03-02 00:30:17.600215,0 days 00:00:00.032000,0.12088083176495582,0.029591576126129893,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
39,39,0.8690740740740741,2023-03-02 00:30:17.604214,2023-03-02 00:30:17.644213,0 days 00:00:00.039999,0.1546070658891404,0.10530305026790589,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
40,40,0.8692592592592593,2023-03-02 00:30:17.650213,2023-03-02 00:30:17.687214,0 days 00:00:00.037001,0.15435394030334126,0.013105404915444568,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
41,41,0.8692592592592593,2023-03-02 00:30:17.694214,2023-03-02 00:30:17.731214,0 days 00:00:00.037000,0.1599910379701044,0.01271329961993313,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8690740740740741,2023-03-02 00:30:17.741216,2023-03-02 00:30:17.779214,0 days 00:00:00.037998,0.3279185517259077,4.538256846758036e-05,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.8690740740740741,2023-03-02 00:30:17.786216,2023-03-02 00:30:17.827891,0 days 00:00:00.041675,0.14165799549344973,0.0011882750343930465,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
44,44,0.5,2023-03-02 00:30:17.838893,2023-03-02 00:30:17.917892,0 days 00:00:00.078999,,,,,,,,,,,,,,,,Tree,,,,,,,,,376.4314302932615,gini,0.6347446893172619,988.9121605527093,0.49775009198442677,0.004610148074079667,0.027742692212581355,best,,,,,,COMPLETE
45,45,0.5,2023-03-02 00:30:17.844891,2023-03-02 00:30:17.918891,0 days 00:00:00.074000,,,,,,,,,,,,,,,,Tree,,,,,,,,,390.4748132149012,gini,0.6603729062429562,973.5481115714952,0.4856477802051088,0.014762507217036647,0.020954359713562076,best,,,,,,COMPLETE
46,46,0.8692592592592593,2023-03-02 00:30:17.921892,2023-03-02 00:30:17.965891,0 days 00:00:00.043999,0.13139190436310483,0.09723382832701034,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
47,47,0.8692592592592593,2023-03-02 00:30:17.926891,2023-03-02 00:30:17.980891,0 days 00:00:00.054000,0.1194972517251348,0.09403776381532603,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.8690740740740741,2023-03-02 00:30:17.972895,2023-03-02 00:30:18.017892,0 days 00:00:00.044997,0.12273965872754977,0.10021929034834386,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.8690740740740741,2023-03-02 00:30:17.987892,2023-03-02 00:30:18.036891,0 days 00:00:00.048999,0.14286272419486712,0.10311255232904332,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
50,50,0.8664814814814815,2023-03-02 00:30:18.027891,2023-03-02 00:30:18.104892,0 days 00:00:00.077001,0.3037699343319246,0.25723466715319127,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
51,51,0.8690740740740741,2023-03-02 00:30:18.042894,2023-03-02 00:30:18.189406,0 days 00:00:00.146512,0.2687179263320354,0.08662204772621104,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.847037037037037,2023-03-02 00:30:18.113891,2023-03-02 00:30:18.315272,0 days 00:00:00.201381,,,,,,,,,,,,,,,,SVM,30.89956453226058,,ovo,,,linear,True,0.025755290294008804,,,,,,,,,,,,,,COMPLETE
53,53,0.8474074074074074,2023-03-02 00:30:18.198407,2023-03-02 00:30:18.389570,0 days 00:00:00.191163,,,,,,,,,,,,,,,,SVM,30.944304255463223,,ovo,,,linear,True,0.028642877135027334,,,,,,,,,,,,,,COMPLETE
54,54,0.5,2023-03-02 00:30:18.321057,2023-03-02 00:30:20.872036,0 days 00:00:02.550979,,,994.5550510566617,squared_error,0.37093419417502815,exponential,39.0,0.036170661568926454,61.8721273776319,0.018539868053624786,0.9943551951334246,959.0,0.9836070796685512,0.9919499613674058,0.07136190520786223,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
55,55,0.5,2023-03-02 00:30:18.397571,2023-03-02 00:30:21.277225,0 days 00:00:02.879654,,,949.9436883653152,squared_error,0.6634780742655755,exponential,40.0,0.20055187668775154,62.309173732319096,0.012080043646909067,0.9857748524541287,958.0,0.9300758507475431,0.9816922377122457,0.13080994148316183,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.8688888888888888,2023-03-02 00:30:19.496968,2023-03-02 00:30:19.616967,0 days 00:00:00.119999,0.11024412720990152,0.08340741282891588,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
57,57,0.8690740740740741,2023-03-02 00:30:19.584970,2023-03-02 00:30:19.692969,0 days 00:00:00.107999,0.10779990926096505,0.008361409268761107,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
58,58,0.8688888888888889,2023-03-02 00:30:19.625969,2023-03-02 00:30:19.727970,0 days 00:00:00.102001,0.095418627252682,0.0057054400870330535,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
59,59,0.8685185185185185,2023-03-02 00:30:19.637971,2023-03-02 00:30:19.748969,0 days 00:00:00.110998,0.09964729342686396,0.0680279756493169,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
60,60,0.8692592592592593,2023-03-02 00:30:19.696969,2023-03-02 00:30:19.811968,0 days 00:00:00.114999,0.10023788425155318,0.09366614559677741,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
61,61,0.8688888888888889,2023-03-02 00:30:19.733968,2023-03-02 00:30:19.873041,0 days 00:00:00.139073,0.2038819018257303,0.13376995122801894,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.8690740740740741,2023-03-02 00:30:19.740969,2023-03-02 00:30:19.865042,0 days 00:00:00.124073,0.18780904561816747,0.1544811273420641,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.8374074074074074,2023-03-02 00:30:19.756968,2023-03-02 00:30:20.009614,0 days 00:00:00.252646,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,brute,247.0,255.0,990.0,distance,COMPLETE
64,64,0.8292592592592591,2023-03-02 00:30:19.815968,2023-03-02 00:30:20.032912,0 days 00:00:00.216944,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,brute,272.0,239.0,929.0,distance,COMPLETE
65,65,0.8353703703703703,2023-03-02 00:30:19.868042,2023-03-02 00:30:20.096224,0 days 00:00:00.228182,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,brute,238.0,256.0,979.0,distance,COMPLETE
66,66,0.836111111111111,2023-03-02 00:30:19.876041,2023-03-02 00:30:20.118332,0 days 00:00:00.242291,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,brute,255.0,256.0,973.0,distance,COMPLETE
67,67,0.5,2023-03-02 00:30:20.013061,2023-03-02 00:30:20.059222,0 days 00:00:00.046161,,,,,,,,,,,,,,,,Tree,,,,,,,,,8.660311969757288,entropy,0.9965515475205772,18.359978264590666,0.1477236093278319,0.38850501097680534,0.4836968494014929,random,,,,,,COMPLETE
68,68,0.8687037037037036,2023-03-02 00:30:20.037224,2023-03-02 00:30:20.140222,0 days 00:00:00.102998,0.06736448948032919,0.07106233924495084,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
69,69,0.8688888888888888,2023-03-02 00:30:20.063224,2023-03-02 00:30:20.169222,0 days 00:00:00.105998,0.06761710684113893,0.0711710761224375,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.8685185185185185,2023-03-02 00:30:20.100222,2023-03-02 00:30:20.207222,0 days 00:00:00.107000,0.06781738975684982,0.06874234129125643,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
71,71,0.8685185185185185,2023-03-02 00:30:20.122222,2023-03-02 00:30:20.227222,0 days 00:00:00.105000,0.08086675908594727,0.06674993732218448,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.8681481481481481,2023-03-02 00:30:20.144223,2023-03-02 00:30:20.252738,0 days 00:00:00.108515,0.17505821013177383,0.06392749823796118,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
73,73,0.8690740740740741,2023-03-02 00:30:20.174222,2023-03-02 00:30:20.280739,0 days 00:00:00.106517,0.16899287183065498,0.12026737180898758,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.8690740740740741,2023-03-02 00:30:20.211225,2023-03-02 00:30:20.314738,0 days 00:00:00.103513,0.5180641841714955,0.141203500011157,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.8675925925925927,2023-03-02 00:30:20.237738,2023-03-02 00:30:20.344598,0 days 00:00:00.106860,0.49191717215384295,0.21607586230566034,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
76,76,0.867037037037037,2023-03-02 00:30:20.257737,2023-03-02 00:30:20.369554,0 days 00:00:00.111817,0.3890999540088267,0.22079600947179806,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
77,77,0.8629629629629629,2023-03-02 00:30:20.287738,2023-03-02 00:30:20.415554,0 days 00:00:00.127816,0.3705133365605264,0.6319187523923868,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.8692592592592592,2023-03-02 00:30:20.320737,2023-03-02 00:30:20.443554,0 days 00:00:00.122817,0.13822383210290715,0.1261658437059303,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.8692592592592592,2023-03-02 00:30:20.349393,2023-03-02 00:30:20.465572,0 days 00:00:00.116179,0.14012828517265827,0.12545514333603736,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
80,80,0.8692592592592592,2023-03-02 00:30:20.364556,2023-03-02 00:30:20.499570,0 days 00:00:00.135014,0.138377017484282,0.1237234599858676,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
81,81,0.8688888888888889,2023-03-02 00:30:20.377553,2023-03-02 00:30:20.481570,0 days 00:00:00.104017,0.14140128410665237,0.13780352141980695,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
82,82,0.8685185185185185,2023-03-02 00:30:20.424556,2023-03-02 00:30:20.533569,0 days 00:00:00.109013,0.15853218147326267,0.041628206726727214,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
83,83,0.867962962962963,2023-03-02 00:30:20.448554,2023-03-02 00:30:20.574593,0 days 00:00:00.126039,0.21832894699234967,0.19488812273106265,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
84,84,0.8675925925925927,2023-03-02 00:30:20.475569,2023-03-02 00:30:20.595569,0 days 00:00:00.120000,0.21954596912308957,0.17851182725121179,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
85,85,0.8677777777777778,2023-03-02 00:30:20.492570,2023-03-02 00:30:20.616569,0 days 00:00:00.123999,0.22064304002788448,0.17494949722655734,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
86,86,0.8677777777777778,2023-03-02 00:30:20.506570,2023-03-02 00:30:20.617569,0 days 00:00:00.110999,0.22889463273873567,0.17079029288320063,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
87,87,0.8677777777777778,2023-03-02 00:30:20.539569,2023-03-02 00:30:20.651571,0 days 00:00:00.112002,0.22588264974065309,0.17370558941411363,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
88,88,0.8690740740740741,2023-03-02 00:30:20.578568,2023-03-02 00:30:20.686569,0 days 00:00:00.108001,0.04153933007834828,0.11946901218600865,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
89,89,0.8692592592592592,2023-03-02 00:30:20.603569,2023-03-02 00:30:20.694569,0 days 00:00:00.091000,0.05010268584850482,0.12568838281870331,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
90,90,0.8690740740740741,2023-03-02 00:30:20.620569,2023-03-02 00:30:20.749569,0 days 00:00:00.129000,0.05070410825195104,0.11273817194594626,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
91,91,0.8687037037037038,2023-03-02 00:30:20.623569,2023-03-02 00:30:20.743569,0 days 00:00:00.120000,0.0421614587977073,0.04052881333876436,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
92,92,0.8688888888888889,2023-03-02 00:30:20.654569,2023-03-02 00:30:20.849756,0 days 00:00:00.195187,0.03756793895456752,0.0368313781495566,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
93,93,0.5,2023-03-02 00:30:20.692569,2023-03-02 00:30:20.746569,0 days 00:00:00.054000,,,,,,,,,,,,,,,,SVM,98.66637754749027,-87.05619750773452,ovr,95.0,auto,poly,False,0.9602276951622286,,,,,,,,,,,,,,COMPLETE
94,94,0.5,2023-03-02 00:30:20.703569,2023-03-02 00:30:20.760569,0 days 00:00:00.057000,,,,,,,,,,,,,,,,SVM,98.75478231153528,-88.04803628936504,ovr,90.0,auto,poly,False,0.9357557721402929,,,,,,,,,,,,,,COMPLETE
95,95,0.5,2023-03-02 00:30:20.750569,2023-03-02 00:30:20.883036,0 days 00:00:00.132467,,,,,,,,,,,,,,,,Tree,,,,,,,,,976.3980180014125,gini,0.36834745169893696,281.6771426250034,0.21179380909002699,0.4467068229992988,0.1875238172084367,best,,,,,,COMPLETE
96,96,0.5,2023-03-02 00:30:20.761569,2023-03-02 00:30:21.082216,0 days 00:00:00.320647,,,339.9568583673034,friedman_mse,3.1504288514490097,deviance,1.0,0.5251210194493002,591.3226584622159,0.1981600141654786,0.9829771204210462,44.0,0.8546153232265006,0.024442613632972066,0.3659821788103696,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
97,97,0.5,2023-03-02 00:30:20.764573,2023-03-02 00:30:22.672107,0 days 00:00:01.907534,,,327.83799959533314,friedman_mse,2.934198120180554,deviance,2.0,0.5520439569596107,980.4846014692012,0.4788618652306745,0.9072586160250075,691.0,0.9812518424612046,0.029196013405833166,0.4639778011919136,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
98,98,0.5,2023-03-02 00:30:20.775571,2023-03-02 00:30:20.981704,0 days 00:00:00.206133,,,352.43109255932495,friedman_mse,3.341497392563692,deviance,1.0,0.510916176727456,632.599216828632,0.4989396559584808,0.9467960188316726,3.0,0.9510852029650614,0.0012824162769418113,0.3932919668784894,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
99,99,0.5,2023-03-02 00:30:20.863035,2023-03-02 00:30:21.033215,0 days 00:00:00.170180,,,421.9562818278033,friedman_mse,3.115412803058316,deviance,2.0,0.510273702700093,640.0512988834681,0.4967452465050505,0.5935134495040573,7.0,0.2893868475438198,0.6646112678213679,0.4185346546888663,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
